locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAMBLCDF_01912	CDS	1008	glk_1	2.7.1.2	COG0837	Glucokinase
MAMBLCDF_01913	CDS	780	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
MAMBLCDF_01914	CDS	984				hypothetical protein
MAMBLCDF_01915	CDS	759				hypothetical protein
MAMBLCDF_01916	CDS	1827	mdoH_1	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
MAMBLCDF_01917	CDS	999				hypothetical protein
MAMBLCDF_01918	CDS	402				hypothetical protein
MAMBLCDF_01919	CDS	1053	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MAMBLCDF_01920	CDS	840				hypothetical protein
MAMBLCDF_01921	CDS	501	eis_2	2.3.1.-		N-acetyltransferase Eis
MAMBLCDF_01922	CDS	2088				hypothetical protein
MAMBLCDF_01923	CDS	2823				hypothetical protein
MAMBLCDF_01924	CDS	915				hypothetical protein
MAMBLCDF_01925	CDS	1029	ravA	3.6.3.-		ATPase RavA
MAMBLCDF_01926	CDS	561				hypothetical protein
MAMBLCDF_01927	CDS	678	nudL	3.6.1.-		putative Nudix hydrolase NudL
MAMBLCDF_01928	CDS	267				hypothetical protein
MAMBLCDF_01929	CDS	1230	cca_1	2.7.7.72		CCA-adding enzyme
MAMBLCDF_01930	CDS	465	mshD_3	2.3.1.189		Mycothiol acetyltransferase
MAMBLCDF_01931	CDS	924	hemF_1	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
MAMBLCDF_01932	CDS	483	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
MAMBLCDF_01933	CDS	102				hypothetical protein
MAMBLCDF_01934	CDS	1866		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
MAMBLCDF_01935	CDS	552	petA_1	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
MAMBLCDF_01936	CDS	1284	fbcH_1		COG1290	Cytochrome b/c1
MAMBLCDF_01937	CDS	867	fbcH_2		COG1290	Cytochrome b/c1
MAMBLCDF_01938	CDS	159				hypothetical protein
MAMBLCDF_01939	CDS	882	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
MAMBLCDF_01940	CDS	558	apt_1	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
MAMBLCDF_01941	CDS	1110	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
MAMBLCDF_01942	CDS	645	ald2	4.1.2.-	COG0235	5-(methylthio)ribulose-1-phosphate aldolase
MAMBLCDF_01943	CDS	1308				hypothetical protein
MAMBLCDF_01944	CDS	1023				hypothetical protein
MAMBLCDF_01945	CDS	1098	ychF_1		COG0012	Ribosome-binding ATPase YchF
MAMBLCDF_01946	CDS	612	pth_1	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
MAMBLCDF_01947	CDS	612	rplY_1		COG1825	50S ribosomal protein L25
MAMBLCDF_01948	CDS	1845				hypothetical protein
MAMBLCDF_01949	CDS	564				queuosine precursor transporter
MAMBLCDF_01950	CDS	729	queC_1	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
MAMBLCDF_01951	CDS	945	prs_2	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MAMBLCDF_01952	CDS	540				hypothetical protein
MAMBLCDF_01953	CDS	1152	doeA_1	3.5.4.44	COG0006	Ectoine hydrolase
MAMBLCDF_01954	CDS	255	ubiK_1			Ubiquinone biosynthesis accessory factor UbiK
MAMBLCDF_01955	CDS	621				hypothetical protein
MAMBLCDF_01956	CDS	816	proC_2	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
MAMBLCDF_01957	CDS	741				hypothetical protein
MAMBLCDF_01958	CDS	1995				hypothetical protein
MAMBLCDF_01959	CDS	360	csaA		COG0073	putative chaperone CsaA
MAMBLCDF_01960	CDS	918				hypothetical protein
MAMBLCDF_01961	CDS	624	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
MAMBLCDF_01962	CDS	741	pgrR_2			HTH-type transcriptional regulator PgrR
MAMBLCDF_01963	CDS	924	gcvA_6			Glycine cleavage system transcriptional activator
MAMBLCDF_01964	CDS	225				hypothetical protein
MAMBLCDF_01965	CDS	1449	sasA_8	2.7.-.-		Adaptive-response sensory-kinase SasA
MAMBLCDF_01966	CDS	732	ompR_1			Transcriptional regulatory protein OmpR
MAMBLCDF_01967	CDS	510				hypothetical protein
MAMBLCDF_01968	CDS	888	ilvE_2	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
MAMBLCDF_01969	CDS	1083				hypothetical protein
MAMBLCDF_01970	CDS	459	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
MAMBLCDF_01971	CDS	279	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
MAMBLCDF_01972	CDS	669	pgsA_1	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MAMBLCDF_01973	CDS	2133	uvrC_1		COG0322	UvrABC system protein C
MAMBLCDF_01974	CDS	210	cspA_4		COG1278	Cold shock protein CspA
MAMBLCDF_01975	CDS	276	rpsU_2		COG0828	30S ribosomal protein S21
MAMBLCDF_01976	CDS	258				hypothetical protein
MAMBLCDF_01977	CDS	843	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
MAMBLCDF_01978	CDS	1107				hypothetical protein
MAMBLCDF_01979	CDS	765	yfiH_1	1.10.3.-	COG1496	Polyphenol oxidase
MAMBLCDF_01980	CDS	270				hypothetical protein
MAMBLCDF_01981	CDS	630	nsaD_1	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
MAMBLCDF_01982	CDS	750	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
MAMBLCDF_01983	CDS	798				hypothetical protein
MAMBLCDF_01984	CDS	651				hypothetical protein
MAMBLCDF_01985	CDS	606	yibF_2		COG0625	putative GST-like protein YibF
MAMBLCDF_01986	CDS	852	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
MAMBLCDF_01987	CDS	675		3.1.27.-		Ribonuclease
MAMBLCDF_01988	CDS	504				hypothetical protein
MAMBLCDF_01989	CDS	1134	dhaT_1	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
MAMBLCDF_01990	CDS	909	ribN_3			Riboflavin transporter
MAMBLCDF_01991	CDS	309			COG0640	HTH-type transcriptional regulator
MAMBLCDF_01992	CDS	555				hypothetical protein
MAMBLCDF_01993	CDS	582				hypothetical protein
MAMBLCDF_01994	CDS	987			COG1638	Solute-binding protein
MAMBLCDF_01995	CDS	1305	dctM_6		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
MAMBLCDF_01996	CDS	549				hypothetical protein
MAMBLCDF_01997	CDS	3600				hypothetical protein
MAMBLCDF_01998	CDS	696	hcaB_3	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
MAMBLCDF_01999	CDS	804	dapB_2	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
MAMBLCDF_02000	CDS	1677				hypothetical protein
MAMBLCDF_02001	CDS	1092	recD2_1	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
MAMBLCDF_02002	CDS	702				hypothetical protein
MAMBLCDF_02003	CDS	981				hypothetical protein
MAMBLCDF_02004	CDS	1023	yhdW_2			Putative amino-acid ABC transporter-binding protein YhdW
MAMBLCDF_02005	CDS	318	gdx_1		COG2076	Guanidinium exporter
MAMBLCDF_02006	CDS	756				hypothetical protein
MAMBLCDF_02007	CDS	564	sigK		COG1595	ECF RNA polymerase sigma factor SigK
MAMBLCDF_02008	CDS	789				hypothetical protein
MAMBLCDF_02009	CDS	603	leuD1_1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
MAMBLCDF_02010	CDS	459				hypothetical protein
MAMBLCDF_02011	CDS	246				hypothetical protein
MAMBLCDF_02012	CDS	1419	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
MAMBLCDF_02013	CDS	177				hypothetical protein
MAMBLCDF_02014	CDS	399				hypothetical protein
MAMBLCDF_02015	CDS	849	kynA	1.13.11.11	COG3483	Tryptophan 2,3-dioxygenase
MAMBLCDF_02016	CDS	1200	kynu	3.7.1.3		Kynureninase
MAMBLCDF_02017	CDS	396	rplS_1		COG0335	50S ribosomal protein L19
MAMBLCDF_02018	CDS	741				hypothetical protein
MAMBLCDF_02019	CDS	789	bacC_2	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
MAMBLCDF_02020	CDS	2079	fusA_1		COG0480	Elongation factor G
MAMBLCDF_02021	CDS	1725	fadD_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MAMBLCDF_02022	CDS	573				hypothetical protein
MAMBLCDF_02023	CDS	1275	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
MAMBLCDF_02024	CDS	879	dapF_1	5.1.1.7	COG0253	Diaminopimelate epimerase
MAMBLCDF_02025	CDS	882				hypothetical protein
MAMBLCDF_02026	CDS	1059				hypothetical protein
MAMBLCDF_02027	CDS	600				hypothetical protein
MAMBLCDF_02028	CDS	627	rhtB_2		COG1280	Homoserine/homoserine lactone efflux protein
MAMBLCDF_02029	CDS	420				hypothetical protein
MAMBLCDF_02030	CDS	594				hypothetical protein
MAMBLCDF_02031	CDS	414				hypothetical protein
MAMBLCDF_02032	CDS	1575	ffh_1		COG0541	Signal recognition particle protein
MAMBLCDF_02033	CDS	360	rpsP_1		COG0228	30S ribosomal protein S16
MAMBLCDF_02034	CDS	528	rimM_1		COG0806	Ribosome maturation factor RimM
MAMBLCDF_02035	CDS	672	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
MAMBLCDF_02036	CDS	645	cat	2.3.1.28	COG0110	Chloramphenicol acetyltransferase
MAMBLCDF_02037	CDS	732	trmD_1	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
MAMBLCDF_02038	CDS	876				hypothetical protein
MAMBLCDF_02039	CDS	423	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
MAMBLCDF_02040	CDS	600	lacA	2.3.1.18	COG0110	Galactoside O-acetyltransferase
MAMBLCDF_02041	CDS	1203	aatA_1	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
MAMBLCDF_02042	CDS	204				hypothetical protein
MAMBLCDF_02043	CDS	231				hypothetical protein
MAMBLCDF_02044	CDS	288				hypothetical protein
MAMBLCDF_02045	CDS	480				hypothetical protein
MAMBLCDF_02046	CDS	1161	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
MAMBLCDF_02047	CDS	975				hypothetical protein
MAMBLCDF_02048	CDS	1305				hypothetical protein
MAMBLCDF_02049	CDS	1122	yliI_1	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
MAMBLCDF_02050	CDS	270	livF_6		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
MAMBLCDF_02051	CDS	1434	puuC_1	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
MAMBLCDF_02052	CDS	738	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
MAMBLCDF_02053	CDS	555				hypothetical protein
MAMBLCDF_02054	CDS	1209	sotB_1			sugar efflux transporter
MAMBLCDF_02055	CDS	1125	adhD	1.1.1.1	COG1062	Putative alcohol dehydrogenase D
MAMBLCDF_02056	CDS	963	oxyR_3			Hydrogen peroxide-inducible genes activator
MAMBLCDF_02057	CDS	993				hypothetical protein
MAMBLCDF_02058	CDS	1296				hypothetical protein
MAMBLCDF_02059	CDS	1293	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MAMBLCDF_02060	CDS	1011				hypothetical protein
MAMBLCDF_02061	CDS	1089	Vejaci	5.5.1.25	COG4948	3,6-anhydro-alpha-L-galactonate cycloisomerase
MAMBLCDF_02062	CDS	414				hypothetical protein
MAMBLCDF_02063	CDS	990		1.3.1.103		2-haloacrylate reductase
MAMBLCDF_02064	CDS	1896				hypothetical protein
MAMBLCDF_02065	CDS	738	livF_7		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
MAMBLCDF_02066	CDS	744	lptB_6	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
MAMBLCDF_02067	CDS	1032				hypothetical protein
MAMBLCDF_02068	CDS	879	livH_4		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
MAMBLCDF_02069	CDS	1137				hypothetical protein
MAMBLCDF_02070	CDS	705	aroE_1	1.1.1.-		Quinate/shikimate dehydrogenase (NAD(+))
MAMBLCDF_02071	CDS	123				hypothetical protein
MAMBLCDF_02072	CDS	933				hypothetical protein
MAMBLCDF_02073	CDS	687	rspR_4		COG1802	HTH-type transcriptional repressor RspR
MAMBLCDF_02074	CDS	1038	pdxA2	1.1.1.409	COG1995	D-erythronate 4-phosphate dehydrogenase
MAMBLCDF_02075	CDS	993				hypothetical protein
MAMBLCDF_02076	CDS	489				hypothetical protein
MAMBLCDF_02077	CDS	1518				hypothetical protein
MAMBLCDF_02078	CDS	918	araD_2	4.2.1.43		L-2-keto-3-deoxyarabonate dehydratase
MAMBLCDF_02079	CDS	354				hypothetical protein
MAMBLCDF_02080	CDS	756	mhpD_1	4.2.1.80		2-keto-4-pentenoate hydratase
MAMBLCDF_02081	CDS	2016	bamA_1			Outer membrane protein assembly factor BamA
MAMBLCDF_02082	CDS	4326				hypothetical protein
MAMBLCDF_02083	CDS	1440				hypothetical protein
MAMBLCDF_02084	CDS	2334	pal_4			Peptidoglycan-associated lipoprotein
MAMBLCDF_02085	CDS	1011				hypothetical protein
MAMBLCDF_02086	CDS	894	cpo	1.11.1.10		Non-heme chloroperoxidase
MAMBLCDF_02087	CDS	2142	mltC_1	4.2.2.-		Membrane-bound lytic murein transglycosylase C
MAMBLCDF_02088	CDS	894	dapA_2	4.3.3.7		4-hydroxy-tetrahydrodipicolinate synthase
MAMBLCDF_02089	CDS	474	smpB_1			SsrA-binding protein
MAMBLCDF_02090	CDS	627				hypothetical protein
MAMBLCDF_02091	CDS	912	era_1		COG1159	GTPase Era
MAMBLCDF_02092	CDS	777	rnc_1	3.1.26.3	COG0571	Ribonuclease 3
MAMBLCDF_02093	CDS	765	lepB_1	3.4.21.89	COG0681	Signal peptidase I
MAMBLCDF_02094	CDS	693	aqpZ_2		COG0580	Aquaporin Z
MAMBLCDF_02095	CDS	300				hypothetical protein
MAMBLCDF_02096	CDS	1035				hypothetical protein
MAMBLCDF_02097	CDS	405	acpS_1	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
MAMBLCDF_02098	CDS	753	pdxJ_1	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
MAMBLCDF_02099	CDS	1707				hypothetical protein
MAMBLCDF_02100	CDS	711	azoR1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase 1
MAMBLCDF_02101	CDS	888	gcvA_7			Glycine cleavage system transcriptional activator
MAMBLCDF_02102	CDS	390	rpoZ_1	2.7.7.6		DNA-directed RNA polymerase subunit omega
MAMBLCDF_02103	CDS	2223	rsh	2.7.6.5		GTP pyrophosphokinase rsh
MAMBLCDF_02104	CDS	873	hdfR_2			HTH-type transcriptional regulator HdfR
MAMBLCDF_02105	CDS	384				hypothetical protein
MAMBLCDF_02106	CDS	729	recO			DNA repair protein RecO
MAMBLCDF_02107	CDS	2247	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
MAMBLCDF_02108	CDS	633				hypothetical protein
MAMBLCDF_02109	CDS	1014				hypothetical protein
MAMBLCDF_02110	CDS	1704	mdoG_2		COG3131	Glucans biosynthesis protein G
MAMBLCDF_02111	CDS	1200	suyB_1	4.4.1.24	COG2721	(2R)-sulfolactate sulfo-lyase subunit beta
MAMBLCDF_02112	CDS	315	garD_1	4.2.1.42		Galactarate dehydratase (L-threo-forming)
MAMBLCDF_02113	CDS	648	ligK_2	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipate aldolase
MAMBLCDF_02114	CDS	747	bpt_1	2.3.2.29	COG2935	Aspartate/glutamate leucyltransferase
MAMBLCDF_02115	CDS	474				hypothetical protein
MAMBLCDF_02116	CDS	1254	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
MAMBLCDF_02117	CDS	1335				hypothetical protein
MAMBLCDF_02118	CDS	1059	hemB_1	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
MAMBLCDF_02119	CDS	1062	caiD_2	4.2.1.149		Carnitinyl-CoA dehydratase
MAMBLCDF_02120	CDS	447				hypothetical protein
MAMBLCDF_02121	CDS	174				hypothetical protein
MAMBLCDF_02122	CDS	513				hypothetical protein
MAMBLCDF_02123	CDS	1242				hypothetical protein
MAMBLCDF_02124	CDS	1302	glyA2	2.1.2.1		Serine hydroxymethyltransferase 2
MAMBLCDF_02125	CDS	951				hypothetical protein
MAMBLCDF_02126	CDS	510	nrdR_1		COG1327	Transcriptional repressor NrdR
MAMBLCDF_02127	CDS	1131	ribD_1		COG0117	Riboflavin biosynthesis protein RibD
MAMBLCDF_02128	CDS	648	ribE_1	2.5.1.9		Riboflavin synthase
MAMBLCDF_02129	CDS	498	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
MAMBLCDF_02130	CDS	468	nusB_1		COG0781	Transcription antitermination protein NusB
MAMBLCDF_02131	CDS	1017	thiL_1	2.7.4.16	COG0611	Thiamine-monophosphate kinase
MAMBLCDF_02132	CDS	1203	rfnT			Riboflavin transporter RfnT
MAMBLCDF_02133	CDS	2157	hppA_1	7.1.3.1	COG3808	K(+)-insensitive pyrophosphate-energized proton pump
MAMBLCDF_02134	CDS	918	yedA_2			putative inner membrane transporter YedA
MAMBLCDF_02135	CDS	465				hypothetical protein
MAMBLCDF_02136	CDS	492	bamE_1			Outer membrane protein assembly factor BamE
MAMBLCDF_02137	CDS	612				hypothetical protein
MAMBLCDF_02138	CDS	555				hypothetical protein
MAMBLCDF_02139	CDS	1065	plsX_1	2.3.1.274	COG0416	Phosphate acyltransferase
MAMBLCDF_02140	CDS	978	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
MAMBLCDF_02141	CDS	315	ihfA		COG0776	Integration host factor subunit alpha
MAMBLCDF_02142	CDS	591				hypothetical protein
MAMBLCDF_02143	CDS	168				hypothetical protein
MAMBLCDF_02144	CDS	960	pgrR_3			HTH-type transcriptional regulator PgrR
MAMBLCDF_02145	CDS	426	catD_1	1.-.-.-	COG2259	Putative oxidoreductase CatD
MAMBLCDF_02146	CDS	933	mhqO	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqO
MAMBLCDF_02147	CDS	630	mhqD	3.1.-.-	COG0400	Putative hydrolase MhqD
MAMBLCDF_02148	CDS	138				hypothetical protein
MAMBLCDF_02149	CDS	864	kce_2	2.3.1.247	COG3246	3-keto-5-aminohexanoate cleavage enzyme
MAMBLCDF_02150	CDS	204				hypothetical protein
MAMBLCDF_02151	CDS	381				hypothetical protein
MAMBLCDF_02152	CDS	279				hypothetical protein
MAMBLCDF_02153	CDS	798				hypothetical protein
MAMBLCDF_02154	tRNA	78				tRNA-Pro(ggg)
MAMBLCDF_02155	CDS	1161				hypothetical protein
MAMBLCDF_02156	CDS	813				hypothetical protein
MAMBLCDF_02157	CDS	1239				hypothetical protein
MAMBLCDF_02158	CDS	1545	wcaJ_1	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
MAMBLCDF_02159	CDS	366	mdtJ		COG2076	Spermidine export protein MdtJ
MAMBLCDF_02160	CDS	339	mdtI		COG2076	Spermidine export protein MdtI
MAMBLCDF_02161	CDS	360				hypothetical protein
MAMBLCDF_02162	CDS	1359	msrP_2	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
MAMBLCDF_02163	CDS	744				hypothetical protein
MAMBLCDF_02164	CDS	525	sigR		COG1595	ECF RNA polymerase sigma factor SigR
MAMBLCDF_02165	CDS	1164	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MAMBLCDF_02166	CDS	561				hypothetical protein
MAMBLCDF_02167	CDS	2178				hypothetical protein
MAMBLCDF_02168	CDS	1233				hypothetical protein
MAMBLCDF_02169	CDS	1053				hypothetical protein
MAMBLCDF_02170	CDS	207				hypothetical protein
MAMBLCDF_02171	CDS	1074	ctaA_1	1.3.-.-	COG1612	Heme A synthase
MAMBLCDF_02172	CDS	1278		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
MAMBLCDF_02173	CDS	531				hypothetical protein
MAMBLCDF_02174	CDS	813	paaF_2	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
MAMBLCDF_02175	CDS	417				hypothetical protein
MAMBLCDF_02176	CDS	462	rplM_1		COG0102	50S ribosomal protein L13
MAMBLCDF_02177	CDS	480	rpsI		COG0103	30S ribosomal protein S9
MAMBLCDF_02178	CDS	753	ygfF	1.-.-.-		putative oxidoreductase YgfF
MAMBLCDF_02179	CDS	279				hypothetical protein
MAMBLCDF_02180	CDS	960	speB_1	3.5.3.11	COG0010	Agmatinase
MAMBLCDF_02181	CDS	933	argC_1	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
MAMBLCDF_02182	CDS	957		4.3.2.3		Ureidoglycolate lyase
MAMBLCDF_02183	CDS	1488				hypothetical protein
MAMBLCDF_02184	CDS	1842	phaC_1	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
MAMBLCDF_02185	CDS	354				hypothetical protein
MAMBLCDF_02186	CDS	777				hypothetical protein
MAMBLCDF_02187	CDS	1221	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
MAMBLCDF_02188	CDS	432				hypothetical protein
MAMBLCDF_02189	CDS	537				hypothetical protein
MAMBLCDF_02190	CDS	849				hypothetical protein
MAMBLCDF_02191	CDS	1347	hom_1	1.1.1.3	COG0460	Homoserine dehydrogenase
MAMBLCDF_02192	CDS	999	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
MAMBLCDF_02193	CDS	690	betI_6			HTH-type transcriptional regulator BetI
MAMBLCDF_02194	CDS	999	macA_2		COG0845	Macrolide export protein MacA
MAMBLCDF_02195	CDS	1248				hypothetical protein
MAMBLCDF_02196	CDS	678	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
MAMBLCDF_02197	CDS	711	rlmE_1	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
MAMBLCDF_02198	CDS	1098	ppx_1	3.6.1.11	COG0248	Exopolyphosphatase
MAMBLCDF_02199	CDS	1503	glpK_1	2.7.1.30		Glycerol kinase
MAMBLCDF_02200	tRNA	74				tRNA-Gln(ctg)
MAMBLCDF_02201	CDS	933				hypothetical protein
MAMBLCDF_02202	CDS	786				hypothetical protein
MAMBLCDF_02203	CDS	1122				hypothetical protein
MAMBLCDF_02204	CDS	1626				hypothetical protein
MAMBLCDF_02205	CDS	960		1.8.3.7	COG1262	Formylglycine-generating enzyme
MAMBLCDF_02206	CDS	1593		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
MAMBLCDF_02207	CDS	474				hypothetical protein
MAMBLCDF_02208	CDS	1089			COG1073	putative protein
MAMBLCDF_02209	CDS	1188	nepI_2		COG2814	Purine ribonucleoside efflux pump NepI
MAMBLCDF_02210	CDS	921	pgrR_4			HTH-type transcriptional regulator PgrR
MAMBLCDF_02211	CDS	492	xerD_2		COG4974	Tyrosine recombinase XerD
MAMBLCDF_02212	CDS	462				hypothetical protein
MAMBLCDF_02213	CDS	1212				hypothetical protein
MAMBLCDF_02214	CDS	741	btuD_9	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MAMBLCDF_02215	CDS	810	ribX_4			Riboflavin transport system permease protein RibX
MAMBLCDF_02216	CDS	966				hypothetical protein
MAMBLCDF_02217	CDS	2265	btuB_1			Vitamin B12 transporter BtuB
MAMBLCDF_02218	CDS	2631				hypothetical protein
MAMBLCDF_02219	CDS	1125				hypothetical protein
MAMBLCDF_02220	CDS	924				hypothetical protein
MAMBLCDF_02221	CDS	894	cynR			HTH-type transcriptional regulator CynR
MAMBLCDF_02222	CDS	1083	ligU	5.3.3.-		(4E)-oxalomesaconate Delta-isomerase
MAMBLCDF_02223	CDS	726	galB	4.2.1.83	COG2120	4-oxalmesaconate hydratase
MAMBLCDF_02224	CDS	690	proA_1	4.1.3.16		4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase
MAMBLCDF_02225	CDS	1176				hypothetical protein
MAMBLCDF_02226	CDS	858	livH_5		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
MAMBLCDF_02227	CDS	1005				hypothetical protein
MAMBLCDF_02228	CDS	753	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
MAMBLCDF_02229	CDS	726	livF_8		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
MAMBLCDF_02230	CDS	1110	metE_1	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
MAMBLCDF_02231	CDS	966	bphC	1.13.11.39		Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase
MAMBLCDF_02232	CDS	657	cmoM_2	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
MAMBLCDF_02233	CDS	789	fhuC_1	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
MAMBLCDF_02234	CDS	1038	hmuU_1		COG0609	Hemin transport system permease protein HmuU
MAMBLCDF_02235	CDS	1020	btuF_2			Vitamin B12-binding protein
MAMBLCDF_02236	CDS	909				hypothetical protein
MAMBLCDF_02237	CDS	1158	abo_2	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
MAMBLCDF_02238	CDS	264	hcnA	1.4.99.5	COG0446	Hydrogen cyanide synthase subunit HcnA
MAMBLCDF_02239	CDS	1317	hcnB_1	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
MAMBLCDF_02240	CDS	1404	safD_1	1.2.1.73	COG1012	Sulfoacetaldehyde dehydrogenase
MAMBLCDF_02241	CDS	909	dapA_3	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
MAMBLCDF_02242	CDS	828	mltF_3	4.2.2.-		Membrane-bound lytic murein transglycosylase F
MAMBLCDF_02243	CDS	663	yecS_3		COG0765	L-cystine transport system permease protein YecS
MAMBLCDF_02244	CDS	810	glnQ_4			Glutamine transport ATP-binding protein GlnQ
MAMBLCDF_02245	CDS	1149	lysDH_1	1.4.1.18		Lysine 6-dehydrogenase
MAMBLCDF_02246	CDS	738				hypothetical protein
MAMBLCDF_02247	CDS	1518		3.1.6.1	COG3119	Arylsulfatase
MAMBLCDF_02248	CDS	999				hypothetical protein
MAMBLCDF_02249	CDS	903	hcaR_1			Hca operon transcriptional activator HcaR
MAMBLCDF_02250	CDS	930		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase
MAMBLCDF_02251	CDS	957	dppB_5		COG0601	Dipeptide transport system permease protein DppB
MAMBLCDF_02252	CDS	834	ddpC_4		COG1173	putative D,D-dipeptide transport system permease protein DdpC
